# dataset: GeoCSV 2.0,,,,
# Event:,2024p826439,Depth: 5km,Magnitude: 4.2,
# Station:,Hawera High School HWHS,Lat: -39.585,Long: 174.274,
# Epicentral_distance_km:,111,,,
# Filtering:,Bandpass filter from 0.1 to 80 Hz,,,
# Component:,,HNZ: 0,HN1: 16,HN2: 106
# field_unit: UTF-8,UTC,m/s/s,m/s/s,m/s/s
# field_type: string,datetime,float,float,float
Stream,Time,Vertical,Horizontal 1,Horizontal 2
NZ_HWHS_21_HN,2024-11-01T18:46:16.400,3.51E-05,-0.000203908,0.000133271
NZ_HWHS_21_HN,2024-11-01T18:46:16.405,6.00E-05,-0.000261044,-2.50E-06
NZ_HWHS_21_HN,2024-11-01T18:46:16.410,-7.17E-05,0.000117399,9.08E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.415,-5.45E-05,2.94E-05,0.000229827
NZ_HWHS_21_HN,2024-11-01T18:46:16.420,0.000192959,-9.99E-05,-2.79E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.425,0.000243129,6.99E-05,-6.00E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.430,0.000138005,-2.28E-05,5.43E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.435,0.000197149,7.64E-05,3.41E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.440,0.000309433,0.000243668,8.45E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.445,0.00026347,-6.51E-05,1.72E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.450,0.000225989,-0.000154688,-6.64E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.455,0.000277336,5.12E-05,4.51E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.460,0.000209073,-4.24E-05,0.000136174
NZ_HWHS_21_HN,2024-11-01T18:46:16.465,9.61E-05,-0.000158196,-4.45E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.470,8.62E-05,-0.000121887,-0.000161073
NZ_HWHS_21_HN,2024-11-01T18:46:16.475,0.000179214,-2.63E-05,5.52E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.480,0.000301099,-8.42E-06,0.000147899
NZ_HWHS_21_HN,2024-11-01T18:46:16.485,0.000170933,-8.02E-05,7.92E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.490,1.35E-05,-8.83E-06,-2.64E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.495,0.000188527,-7.07E-05,-2.29E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.500,0.000164317,-3.88E-05,4.53E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.505,-5.08E-05,0.000144028,-0.000115662
NZ_HWHS_21_HN,2024-11-01T18:46:16.510,1.91E-05,-7.63E-05,-4.56E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.515,-1.09E-05,-0.000172339,1.72E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.520,-5.72E-05,-7.17E-05,-8.88E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.525,2.56E-05,-2.89E-06,-3.82E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.530,-0.000141183,0.00010941,-0.000240296
